d (m),(n/deltat)*d**2,unc in (n/deltat)*d**2
0.02,14.91515733,4.474549422
0.02,14.93379,4.480142556
0.025,16.76416667,4.023443403
0.03,17.94876,3.589826999
0.04,18.13392,2.720265772
0.05,18.01266667,2.161867194
0.06,17.9016,1.790759899
0.08,17.50933333,1.314621453
0.1,17.20833333,1.035274051
0.12,16.7328,0.841426309
0.14,16.46988,0.713433506
0.16,15.62112,0.597061378
0.18,15.88896,0.545591543
0.2,15.288,0.480348467
0.25,14.65,0.463880437
0.3,14.328,0.459422065
0.35,14.847,0.496644924
0.4,13.472,0.506348029
0.45,13.58775,0.554954508
0.5,13.4,0.600713442
0.55,13.673,0.660194635
0.6,13.23,0.505611798
0.65,12.71725,0.531443617
0.7,12.3235,0.559538602
0.75,12.6,0.603767869
0.8,13.664,0.669141353
